RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,48632,Yuto Katsuragawa,76.63%,341,445
2,0,36824,Paul Peterson,74.50%,672,902
3,0,34305,Daniel Miernicki,74.24%,588,792
4,0,59006,Davis Chatfield,73.20%,702,959
5,0,35376,Roberto Díaz,73.12%,691,945
6,0,48705,Dalton Ward,72.92%,455,624
7,0,50490,Chase Parker,71.64%,427,596
8,0,36884,Ben Kohles,71.17%,622,874
9,0,27466,Spencer Levin,70.97%,599,844
10,0,39953,Chase Seiffert,70.86%,591,834
11,0,34308,Brandon Crick,70.28%,525,747
12,0,28679,Fabián Gómez,69.99%,478,683
13,0,59141,Matt McCarty,69.44%,625,900
14,0,55420,Cooper Musselman,69.02%,470,681
15,0,55165,Noah Goodwin,68.52%,457,667
16,0,29675,Dan McCarthy,68.48%,541,790
17,0,54995,Brendon Jelley,68.47%,456,666
18,0,56617,Thomas Walsh,67.99%,529,778
19,0,39436,Joshua Creel,67.82%,489,721
20,0,33120,Mark Anderson,67.32%,515,765
21,0,54792,Chris Petefish,67.31%,486,722
22,0,60021,Patrick Welch,67.13%,488,727
23,0,50497,Adrien Dumont de Chassart,66.97%,373,557
23,0,60067,Joe Highsmith,66.97%,511,763
25,0,39327,Ben Silverman,66.88%,529,791
26,0,48319,Tom Whitney,66.58%,510,766
27,0,34587,Chan Kim,66.49%,611,919
28,0,36789,Patrick Newcomb,66.44%,481,724
28,0,59533,Joe Weiler,66.44%,479,721
30,0,27958,Ryan Blaum,66.00%,365,553
31,0,58669,Jacob Solomon,65.99%,522,791
32,0,60882,Thomas Rosenmueller,65.80%,529,804
33,0,47990,Kyle Jones,65.44%,373,570
34,0,46443,Brian Campbell,65.41%,537,821
35,0,51696,Rico Hoey,65.32%,599,917
36,0,37212,Paul Barjon,65.30%,508,778
36,0,55573,John VanDerLaan,65.30%,606,928
38,0,51690,Taylor Dickson,65.28%,645,988
39,0,39393,Brad Hopfinger,65.07%,598,919
39,0,25834,Daniel Summerhays,65.07%,462,710
41,0,24980,Scott Gutschewski,64.96%,495,762
42,0,46523,Joey Garber,64.95%,569,876
43,0,27330,Josh Teater,64.90%,577,889
44,0,56781,Isaiah Salinda,64.86%,504,777
45,0,49884,Cody Blick,64.81%,558,861
46,0,33486,Roger Sloan,64.67%,476,736
47,0,39480,T.J. Vogel,64.46%,457,709
48,0,56376,Mitchell Meissner,64.35%,518,805
49,0,60004,Jacob Bridgeman,64.20%,651,1014
50,0,58605,Quade Cummins,64.03%,623,973
51,0,56320,Bryson Nimmer,63.89%,345,540
52,0,54393,A.J. Crouch,63.77%,470,737
53,0,50582,Jeremy Paul,63.64%,567,891
54,0,60015,Logan McAllister,63.63%,537,844
54,0,59143,Mac Meissner,63.63%,537,844
56,0,32254,Xinjun Zhang,63.60%,442,695
57,0,51600,Jimmy Stanger,63.37%,519,819
58,0,57123,Steven Fisk,63.30%,571,902
59,0,34213,Grayson Murray,63.13%,327,518
60,0,27139,David Skinns,63.07%,444,704
61,0,46290,Wade Binfield,62.94%,394,626
62,0,52370,Mason Andersen,62.76%,568,905
62,0,63121,William Mouw,62.76%,332,529
64,0,51977,Max Greyserman,62.65%,557,889
