RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,59095,Chris Gotterup,324.8,46118,142
2,0,47420,Jake Knapp,324.4,44763,138
3,0,38991,Alejandro Tosti,324.3,42160,130
4,0,47663,Kevin Dougherty,323.5,35581,110
5,0,59836,Pierceson Coody,323.0,38118,118
6,0,46550,Brandon Hagy,322.9,32939,102
7,0,58166,Abel Gallegos,321.8,28322,88
8,0,29938,Alan Wagner,320.9,33695,105
9,0,50474,Tim Widing,320.4,37171,116
10,0,56149,Wilson Furr,320.0,42879,134
11,0,54383,Ryan Elmore,319.6,17261,54
12,0,59442,Parker Coody,319.2,39576,124
13,0,32070,Rafael Campos,318.7,39832,125
14,0,51680,Alistair Docherty,318.6,37600,118
14,0,35437,Carter Jenkins,318.6,41422,130
16,0,51696,Rico Hoey,318.1,41993,132
17,0,54794,Jay Card III,317.8,31783,100
18,0,36735,Jorge Fernández Valdés,316.9,38656,122
19,0,63121,William Mouw,316.8,24076,76
20,0,55851,Pontus Nyholm,316.6,42428,134
21,0,55411,Jacob Bergeron,316.2,20872,66
22,0,58436,Scott Stevens,315.9,26538,84
23,0,51600,Jimmy Stanger,315.6,37235,118
24,0,49590,Frankie Capan III,315.3,37207,118
24,0,58658,Peter Knade,315.3,31534,100
24,0,56362,Alex Weiss,315.3,31526,100
27,0,37006,Joel Thelen,315.1,27096,86
28,0,37212,Paul Barjon,314.4,35211,112
28,0,57123,Steven Fisk,314.4,40563,129
30,0,54328,Norman Xiong,314.2,33935,108
31,0,59440,Ricky Castillo,313.9,23856,76
31,0,51671,Alex Chiarella,313.9,38301,122
33,0,56742,Brady Calkins,312.7,17513,56
34,0,47996,Jack Maguire,312.6,28762,92
34,0,39537,Chris Naegel,312.6,23757,76
34,0,45540,Jared Wolfe,312.6,35633,114
37,0,54576,Patrick Fishburn,312.5,44368,142
37,0,51977,Max Greyserman,312.5,40001,128
37,0,46113,Ryan McCormick,312.5,42815,137
37,0,35658,Kris Ventura,312.5,30308,97
37,0,54607,Danny Walker,312.5,24376,78
42,0,39420,Colin Featherstone,312.2,29972,96
43,0,54525,Ian Holt,311.9,26198,84
44,0,56781,Isaiah Salinda,311.6,34894,112
45,0,55573,John VanDerLaan,311.4,41725,134
46,0,34213,Grayson Murray,311.3,22722,73
47,0,54393,A.J. Crouch,311.1,32976,106
48,0,60067,Joe Highsmith,311.0,33899,109
49,0,35819,Vince India,310.9,29845,96
50,0,50706,Ashton Van Horne,310.7,31068,100
51,0,60882,Thomas Rosenmueller,310.6,35722,115
52,0,47461,Andrew Kozan,310.5,32915,106
52,0,57625,Trent Phillips,310.5,39120,126
54,0,47154,Martin Contini,310.4,32280,104
55,0,47125,Matt Atkins,310.3,38171,123
55,0,52514,Trace Crowe,310.3,32889,106
