RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
1,0,54794,Jay Card III,.91,49,54
2,0,58189,Billy Tom Sargent,.83,30,36
3,0,47987,Cole Hammer,.79,30,38
4,0,54383,Ryan Elmore,.77,30,39
5,0,35113,Dimi Papadatos,.75,36,48
6,0,57625,Trent Phillips,.74,48,65
7,0,10381,Curtis Thompson,.71,44,62
8,0,33120,Mark Anderson,.70,47,67
9,0,47990,Kyle Jones,.68,32,47
10,0,58658,Peter Knade,.67,43,64
10,0,29461,Jamie Lovemark,.67,30,45
10,0,54607,Danny Walker,.67,30,45
13,0,59440,Ricky Castillo,.66,25,38
13,0,56362,Alex Weiss,.66,37,56
15,0,36735,Jorge Fernández Valdés,.65,50,77
16,0,39393,Brad Hopfinger,.64,45,70
16,0,35437,Carter Jenkins,.64,49,77
18,0,49884,Cody Blick,.63,50,80
18,0,51696,Rico Hoey,.63,53,84
18,0,47996,Jack Maguire,.63,30,48
18,0,36789,Patrick Newcomb,.63,38,60
18,0,55851,Pontus Nyholm,.63,52,83
23,0,55411,Jacob Bergeron,.62,28,45
23,0,39327,Ben Silverman,.62,39,63
25,0,50582,Jeremy Paul,.61,49,80
26,0,60882,Thomas Rosenmueller,.60,43,72
26,0,56781,Isaiah Salinda,.60,37,62
26,0,45540,Jared Wolfe,.60,44,73
29,0,56149,Wilson Furr,.59,48,81
29,0,48705,Dalton Ward,.59,29,49
31,0,56676,John Augenstein,.58,44,76
31,0,54393,A.J. Crouch,.58,40,69
31,0,48319,Tom Whitney,.58,41,71
34,0,59836,Pierceson Coody,.57,39,69
34,0,34587,Chan Kim,.57,47,82
34,0,33486,Roger Sloan,.57,39,68
34,0,32254,Xinjun Zhang,.57,31,54
38,0,47125,Matt Atkins,.56,39,70
38,0,59442,Parker Coody,.56,38,68
38,0,60015,Logan McAllister,.56,41,73
38,0,46487,Brandon McIver,.56,35,63
38,0,56376,Mitchell Meissner,.56,38,68
38,0,38991,Alejandro Tosti,.56,45,81
38,0,55573,John VanDerLaan,.56,45,81
45,0,33490,Bo Hoag,.55,32,58
45,0,35819,Vince India,.55,34,62
45,0,59143,Mac Meissner,.55,42,77
45,0,50490,Chase Parker,.55,27,49
49,0,51680,Alistair Docherty,.54,38,71
49,0,27330,Josh Teater,.54,42,78
49,0,29938,Alan Wagner,.54,35,65
49,0,50474,Tim Widing,.54,41,76
53,0,34643,Michael Johnson,.53,39,73
54,0,27958,Ryan Blaum,.52,23,44
54,0,51690,Taylor Dickson,.52,41,79
54,0,46550,Brandon Hagy,.52,34,65
54,0,59137,RJ Manke,.52,25,48
58,0,46443,Brian Campbell,.51,35,69
58,0,56284,Patrick Cover,.51,40,78
58,0,50006,Willie Mack III,.51,28,55
61,0,39420,Colin Featherstone,.50,31,62
62,0,32070,Rafael Campos,.49,39,79
62,0,39480,T.J. Vogel,.49,33,67
64,0,60004,Jacob Bridgeman,.48,42,87
64,0,34308,Brandon Crick,.48,31,64
64,0,58605,Quade Cummins,.48,40,84
64,0,55165,Noah Goodwin,.48,29,60
