RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,54576,Patrick Fishburn,78.01%,997,1278,-0.31
2,0,36884,Ben Kohles,76.37%,866,1134,-0.30
3,0,59533,Joe Weiler,76.28%,714,936,-0.28
4,0,50582,Jeremy Paul,76.22%,878,1152,-0.27
5,0,29675,Dan McCarthy,75.83%,778,1026,-0.26
6,0,27330,Josh Teater,75.78%,873,1152,-0.28
7,0,59095,Chris Gotterup,75.67%,967,1278,-0.33
8,0,55573,John VanDerLaan,75.62%,912,1206,-0.28
9,0,63121,William Mouw,75.58%,517,684,-0.29
10,0,35437,Carter Jenkins,75.30%,881,1170,-0.31
11,0,59442,Parker Coody,75.00%,837,1116,-0.32
11,0,54995,Brendon Jelley,75.00%,648,864,-0.26
13,0,50497,Adrien Dumont de Chassart,74.58%,537,720,-0.37
14,0,33486,Roger Sloan,74.32%,709,954,-0.29
15,0,60004,Jacob Bridgeman,74.20%,975,1314,-0.31
16,0,59143,Mac Meissner,74.13%,814,1098,-0.29
17,0,39393,Brad Hopfinger,74.07%,880,1188,-0.28
18,0,54393,A.J. Crouch,74.00%,706,954,-0.26
19,0,51690,Taylor Dickson,73.94%,945,1278,-0.29
20,0,60067,Joe Highsmith,73.84%,731,990,-0.32
20,0,48319,Tom Whitney,73.84%,731,990,-0.29
22,0,39327,Ben Silverman,73.78%,757,1026,-0.32
23,0,27958,Ryan Blaum,73.47%,529,720,-0.26
24,0,56781,Isaiah Salinda,73.41%,740,1008,-0.29
25,0,33490,Bo Hoag,73.36%,581,792,-0.26
26,0,52370,Mason Andersen,73.33%,858,1170,-0.27
27,0,36735,Jorge Fernández Valdés,73.32%,805,1098,-0.28
28,0,39436,Joshua Creel,73.18%,685,936,-0.30
29,0,51696,Rico Hoey,73.15%,869,1188,-0.31
30,0,56617,Thomas Walsh,73.02%,736,1008,-0.30
31,0,56149,Wilson Furr,72.97%,880,1206,-0.31
32,0,38991,Alejandro Tosti,72.91%,853,1170,-0.38
33,0,35819,Vince India,72.80%,629,864,-0.27
33,0,60882,Thomas Rosenmueller,72.80%,760,1044,-0.25
35,0,35376,Roberto Díaz,72.79%,891,1224,-0.27
35,0,51600,Jimmy Stanger,72.79%,773,1062,-0.34
35,0,54607,Danny Walker,72.79%,511,702,-0.28
38,0,32070,Rafael Campos,72.75%,825,1134,-0.30
38,0,58436,Scott Stevens,72.75%,550,756,-0.29
