RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,37380,Curtis Luck,1.699,1242,731,36.76%
2,0,50497,Adrien Dumont de Chassart,1.709,918,537,36.94%
3,0,38991,Alejandro Tosti,1.710,1459,853,39.41%
4,0,47420,Jake Knapp,1.711,1521,889,36.38%
5,0,34213,Grayson Murray,1.712,796,465,36.21%
6,0,57900,Chandler Phillips,1.714,1181,689,34.40%
7,0,54652,David Kocher,1.719,1444,840,34.01%
8,0,35490,Wil Bateman,1.722,1233,716,32.35%
9,0,39327,Ben Silverman,1.724,1305,757,34.97%
10,0,59141,Matt McCarty,1.727,1461,846,33.41%
11,0,49590,Frankie Capan III,1.728,1289,746,34.86%
12,0,59006,Davis Chatfield,1.729,1553,898,31.07%
13,0,54625,Dawson Armstrong,1.730,834,482,34.23%
14,0,35110,Brett Drewitt,1.731,1070,618,32.74%
15,0,58605,Quade Cummins,1.734,1529,882,32.95%
16,0,28679,Fabián Gómez,1.735,1065,614,32.52%
16,0,46113,Ryan McCormick,1.735,1485,856,35.71%
18,0,46487,Brandon McIver,1.736,1021,588,36.41%
18,0,56617,Thomas Walsh,1.736,1278,736,32.79%
20,0,39859,Cristobal Del Solar,1.737,1435,826,33.33%
20,0,29461,Jamie Lovemark,1.737,997,574,34.55%
20,0,51600,Jimmy Stanger,1.737,1343,773,35.10%
20,0,60021,Patrick Welch,1.737,1171,674,32.94%
24,0,56284,Patrick Cover,1.738,1399,805,35.62%
25,0,36884,Ben Kohles,1.739,1506,866,32.02%
26,0,39436,Joshua Creel,1.740,1192,685,33.04%
27,0,52514,Trace Crowe,1.742,1169,671,35.02%
28,0,60004,Jacob Bridgeman,1.744,1700,975,33.50%
28,0,47461,Andrew Kozan,1.744,1200,688,33.43%
30,0,49399,Shad Tuten,1.746,1299,744,33.11%
31,0,46443,Brian Campbell,1.747,1317,754,32.98%
31,0,36824,Paul Peterson,1.747,1424,815,31.00%
33,0,60015,Logan McAllister,1.749,1368,782,33.16%
33,0,54328,Norman Xiong,1.749,1170,669,32.58%
35,0,59442,Parker Coody,1.750,1465,837,34.81%
35,0,59095,Chris Gotterup,1.750,1692,967,35.37%
37,0,32618,Rhein Gibson,1.751,1103,630,31.74%
37,0,60067,Joe Highsmith,1.751,1280,731,33.98%
37,0,47996,Jack Maguire,1.751,984,562,33.87%
37,0,27139,David Skinns,1.751,1161,663,34.69%
41,0,35230,Nelson Ledesma,1.752,883,504,32.14%
42,0,51977,Max Greyserman,1.753,1436,819,32.31%
43,0,59836,Pierceson Coody,1.754,1349,769,32.98%
43,0,57124,Michael Feagles,1.754,1196,682,30.78%
43,0,55420,Cooper Musselman,1.754,1114,635,30.24%
43,0,48319,Tom Whitney,1.754,1282,731,32.60%
47,0,28500,Martin Flores,1.755,1237,705,30.50%
47,0,37428,Evan Harmeling,1.755,1139,649,34.10%
49,0,57123,Steven Fisk,1.756,1484,845,31.83%
49,0,35437,Carter Jenkins,1.756,1547,881,33.90%
49,0,33486,Roger Sloan,1.756,1245,709,33.19%
52,0,56742,Brady Calkins,1.757,592,337,33.04%
52,0,54576,Patrick Fishburn,1.757,1752,997,32.26%
52,0,24980,Scott Gutschewski,1.757,1265,720,30.18%
52,0,60019,Jackson Suber,1.757,1451,826,31.96%
56,0,51690,Taylor Dickson,1.758,1661,945,32.03%
57,0,56149,Wilson Furr,1.759,1548,880,33.71%
57,0,29223,Sam Saunders,1.759,1112,632,32.91%
59,0,49884,Cody Blick,1.760,1406,799,33.92%
59,0,25834,Daniel Summerhays,1.760,1146,651,30.05%
61,0,59440,Ricky Castillo,1.761,868,493,31.91%
